protein_id	beg	end	prokka_function
PDPDEDFA_01360	21402	22899	Ribose import ATP-binding protein RbsA
PDPDEDFA_01361	22939	23908	Autoinducer 2 import system permease protein LsrD
PDPDEDFA_01362	23969	24977	Autoinducer 2 import system permease protein LsrD
PDPDEDFA_01363	25096	26512	hypothetical protein
PDPDEDFA_01364	26700	27537	hypothetical protein
PDPDEDFA_01365	27756	28860	hypothetical protein
PDPDEDFA_01366	28921	29563	Methionine synthase
PDPDEDFA_01367	29605	31057	Glycine betaine methyltransferase
PDPDEDFA_01368	31436	31775	hypothetical protein
PDPDEDFA_01369	32018	33470	Glycine betaine methyltransferase
PDPDEDFA_01370	33694	34339	Methionine synthase
PDPDEDFA_01371	34400	35186	3-oxoacyl-[acyl-carrier-protein] reductase FabG
PDPDEDFA_01372	35249	36731	L-Rhamnulokinase
PDPDEDFA_01373	36891	37959	Protease HtpX
PDPDEDFA_01374	37971	38397	hypothetical protein
PDPDEDFA_01375	39323	39566	hypothetical protein
PDPDEDFA_01376	259	1519	putative succinyl-diaminopimelate desuccinylase
PDPDEDFA_01377	1541	2279	Hydroxyacylglutathione hydrolase
PDPDEDFA_01378	2303	2774	Nitric oxide reductase FlRd-NAD(+) reductase
PDPDEDFA_01379	4	2986	Carbamoyl-phosphate synthase large chain
PDPDEDFA_01380	2987	3785	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
PDPDEDFA_01381	3777	4710	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
PDPDEDFA_01382	4724	5477	Orotidine 5'-phosphate decarboxylase
PDPDEDFA_01383	5479	6079	Orotate phosphoribosyltransferase
PDPDEDFA_01384	6304	6625	hypothetical protein
PDPDEDFA_01385	6747	7329	Guanylate kinase
PDPDEDFA_01386	7330	7576	DNA-directed RNA polymerase subunit omega
PDPDEDFA_01387	7784	9035	Coenzyme A biosynthesis bifunctional protein CoaBC
PDPDEDFA_01388	9027	10230	S-adenosylmethionine synthase
PDPDEDFA_01389	10536	12534	primosomal protein N'
PDPDEDFA_01390	12800	13298	Peptide deformylase
PDPDEDFA_01391	13294	14395	Methionyl-tRNA formyltransferase
PDPDEDFA_01392	14378	16085	Ribosomal RNA small subunit methyltransferase B
PDPDEDFA_01393	16200	19221	hypothetical protein
PDPDEDFA_01394	19341	19908	Diguanylate cyclase DgcM
PDPDEDFA_01395	20199	20391	50S ribosomal protein L28
PDPDEDFA_01396	20658	21588	hypothetical protein
PDPDEDFA_01397	21822	23598	hypothetical protein
PDPDEDFA_01398	23998	24418	Ribosomal RNA small subunit methyltransferase D
PDPDEDFA_01399	24689	25172	Phosphopantetheine adenylyltransferase
PDPDEDFA_01400	25185	25647	hypothetical protein
PDPDEDFA_01401	25795	26185	50S ribosomal protein L32
PDPDEDFA_01402	26412	27477	Phosphate acetyltransferase
PDPDEDFA_01403	27716	28739	Phosphate acyltransferase
PDPDEDFA_01404	28759	28996	Acyl carrier protein
PDPDEDFA_01405	29369	30077	Ribonuclease 3
PDPDEDFA_01406	30377	32708	Chromosome partition protein Smc
PDPDEDFA_01407	32691	33567	Signal recognition particle receptor FtsY
PDPDEDFA_01408	33700	35038	Signal recognition particle protein
PDPDEDFA_01409	35150	35396	30S ribosomal protein S16
PDPDEDFA_01410	35423	35657	hypothetical protein
PDPDEDFA_01411	35764	36460	Ribosome maturation factor RimM
PDPDEDFA_01412	36611	37313	tRNA (guanine-N(1)-)-methyltransferase
PDPDEDFA_01413	37595	37937	50S ribosomal protein L19
PDPDEDFA_01414	37920	38457	Signal peptidase I T
PDPDEDFA_01415	38623	39256	Ribonuclease HII
PDPDEDFA_01416	39252	39606	hypothetical protein
PDPDEDFA_01417	39662	41390	hypothetical protein
PDPDEDFA_01418	41382	42591	hypothetical protein
PDPDEDFA_01419	42595	43087	hypothetical protein
PDPDEDFA_01420	43131	44184	Tyrosine recombinase XerC
PDPDEDFA_01421	44341	45211	30S ribosomal protein S2
PDPDEDFA_01422	45248	45860	Elongation factor Ts
PDPDEDFA_01423	46055	46778	Uridylate kinase
PDPDEDFA_01424	46770	47337	Ribosome-recycling factor
PDPDEDFA_01425	47293	48109	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
PDPDEDFA_01426	48241	49297	Metalloprotease MmpA
PDPDEDFA_01427	49374	50439	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
PDPDEDFA_01428	6	258	hypothetical protein
PDPDEDFA_01429	506	1823	Phenylacetate-coenzyme A ligase
PDPDEDFA_01430	1826	3155	Phenylacetate-coenzyme A ligase
PDPDEDFA_01431	3151	4198	hypothetical protein
PDPDEDFA_01432	4253	6224	hypothetical protein
PDPDEDFA_01433	6557	7571	Heptaprenyl diphosphate synthase component 2
PDPDEDFA_01434	7586	8594	hypothetical protein
PDPDEDFA_01435	8771	9959	hypothetical protein
PDPDEDFA_01436	9974	12647	Outer membrane protein assembly factor BamD
PDPDEDFA_01437	12753	14145	hypothetical protein
PDPDEDFA_01438	14383	15706	Outer membrane protein assembly factor BamB
PDPDEDFA_01439	15830	16094	Toxin YoeB
PDPDEDFA_01440	16090	16357	hypothetical protein
PDPDEDFA_01441	16606	18364	Glucose-6-phosphate isomerase
PDPDEDFA_01442	18456	19518	tRNA-specific 2-thiouridylase MnmA
PDPDEDFA_01443	20063	21191	hypothetical protein
PDPDEDFA_01444	21468	21972	hypothetical protein
PDPDEDFA_01445	22128	22707	hypothetical protein
PDPDEDFA_01446	22703	24233	hypothetical protein
PDPDEDFA_01447	24400	24937	hypothetical protein
PDPDEDFA_01448	24933	25623	Energy-coupling factor transporter ATP-binding protein EcfA1
PDPDEDFA_01449	25766	26447	Energy-coupling factor transporter ATP-binding protein EcfA2
PDPDEDFA_01450	26430	27189	Energy-coupling factor transporter transmembrane protein EcfT
PDPDEDFA_01451	27444	28191	hypothetical protein
PDPDEDFA_01452	28196	28970	hypothetical protein
PDPDEDFA_01453	29267	30263	Uroporphyrinogen decarboxylase
PDPDEDFA_01454	30476	31997	Xylulose kinase
PDPDEDFA_01455	32306	33539	3-aminobutyryl-CoA aminotransferase
PDPDEDFA_01456	33728	34787	hypothetical protein
PDPDEDFA_01457	34969	36019	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PDPDEDFA_01458	36043	37429	L-arabinose isomerase
PDPDEDFA_01459	37395	37692	hypothetical protein
PDPDEDFA_01460	37929	38655	hypothetical protein
PDPDEDFA_01461	38938	39655	hypothetical protein
PDPDEDFA_01462	40178	40421	hypothetical protein
PDPDEDFA_01463	40417	40831	hypothetical protein
PDPDEDFA_01464	41033	42395	hypothetical protein
PDPDEDFA_01465	42538	43336	Sulfur carrier protein adenylyltransferase
PDPDEDFA_01466	43577	45368	putative ABC transporter ATP-binding protein
PDPDEDFA_01467	45367	47347	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
PDPDEDFA_01468	47542	47905	hypothetical protein
PDPDEDFA_01469	47928	48309	hypothetical protein
PDPDEDFA_01470	48562	50089	Xylulose kinase
PDPDEDFA_01471	50250	50529	hypothetical protein
PDPDEDFA_01472	50512	51058	hypothetical protein
PDPDEDFA_01473	51367	51676	hypothetical protein
PDPDEDFA_01474	51944	53912	Chaperone protein dnaK2
PDPDEDFA_01475	54370	55435	Chaperone protein DnaJ
PDPDEDFA_01476	55533	58122	Chaperone protein ClpB
PDPDEDFA_01477	58268	58538	hypothetical protein
PDPDEDFA_01478	58567	58786	hypothetical protein
PDPDEDFA_01479	59055	59967	Fructose-bisphosphate aldolase
PDPDEDFA_01480	60076	63178	hypothetical protein
PDPDEDFA_01481	63689	65297	23S rRNA (uracil-C(5))-methyltransferase RlmCD
PDPDEDFA_01482	65318	66308	hypothetical protein
PDPDEDFA_01484	67026	68322	hypothetical protein
PDPDEDFA_01485	68715	69717	hypothetical protein
PDPDEDFA_01486	70045	70489	Arsenate reductase
PDPDEDFA_01487	70731	71517	hypothetical protein
PDPDEDFA_01493	72468	73653	Alkaline phosphatase synthesis sensor protein PhoR
PDPDEDFA_01494	73677	74391	Sensory transduction protein regX3
PDPDEDFA_01495	74468	75464	hypothetical protein
PDPDEDFA_01496	75742	76642	Phosphate transport system permease protein PstC
PDPDEDFA_01497	76820	77696	Phosphate transport system permease protein PstA 2
PDPDEDFA_01498	77963	78638	Phosphate-specific transport system accessory protein PhoU
PDPDEDFA_01499	78962	79469	Rubrerythrin-2
PDPDEDFA_01500	79915	80755	Ribosomal RNA small subunit methyltransferase I
PDPDEDFA_01501	80985	82545	Methionine--tRNA ligase
PDPDEDFA_01502	82553	83375	putative metal-dependent hydrolase YcfH
PDPDEDFA_01503	83379	84285	Ribosomal RNA small subunit methyltransferase A
PDPDEDFA_01504	84347	85295	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
PDPDEDFA_01506	85647	85854	hypothetical protein
PDPDEDFA_01507	86430	87492	hypothetical protein
PDPDEDFA_01508	87642	88119	hypothetical protein
PDPDEDFA_01509	88253	88862	hypothetical protein
PDPDEDFA_01510	88893	89667	Macrolide export ATP-binding/permease protein MacB
PDPDEDFA_01511	89663	90374	putative ABC transporter ATP-binding protein
PDPDEDFA_01512	90637	93073	hypothetical protein
PDPDEDFA_01513	93224	94454	hypothetical protein
PDPDEDFA_01514	94489	94972	hypothetical protein
PDPDEDFA_01515	608	4439	Sensor histidine kinase RcsC
PDPDEDFA_01516	4662	8922	Sensor histidine kinase RcsC
PDPDEDFA_01517	8936	9845	Response regulator PleD
PDPDEDFA_01518	9863	13694	Sensor histidine kinase RcsC
PDPDEDFA_01519	13697	15185	Sensor histidine kinase RcsC
PDPDEDFA_01520	15384	15756	Transcriptional regulatory protein AfsQ1
PDPDEDFA_01521	15771	16587	hypothetical protein
PDPDEDFA_01522	16881	22143	hypothetical protein
PDPDEDFA_01523	22504	22870	hypothetical protein
PDPDEDFA_01524	23100	24738	hypothetical protein
PDPDEDFA_01525	24750	25962	Molybdopterin molybdenumtransferase
PDPDEDFA_01526	25969	26866	Bifunctional folate synthesis protein
PDPDEDFA_01527	26868	28092	hypothetical protein
PDPDEDFA_01528	28219	28786	GTP cyclohydrolase 1
PDPDEDFA_01529	28826	29993	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PDPDEDFA_01530	30468	32586	ATP-dependent zinc metalloprotease FtsH
PDPDEDFA_01531	32899	33427	Hypoxanthine phosphoribosyltransferase
PDPDEDFA_01532	33496	35182	tRNA(Ile)-lysidine synthase
PDPDEDFA_01533	35184	35982	2',3'-cyclic-nucleotide 2'-phosphodiesterase
PDPDEDFA_01534	36047	36551	hypothetical protein
PDPDEDFA_01536	37100	38225	hypothetical protein
PDPDEDFA_01537	38500	39202	hypothetical protein
PDPDEDFA_01539	39578	42038	hypothetical protein
PDPDEDFA_01540	42588	43122	hypothetical protein
PDPDEDFA_01541	43166	43391	hypothetical protein
PDPDEDFA_01542	43413	43977	hypothetical protein
PDPDEDFA_01543	44146	46468	Copper-exporting P-type ATPase
PDPDEDFA_01544	245	1238	1-deoxy-D-xylulose-5-phosphate synthase
PDPDEDFA_01545	1416	2922	hypothetical protein
PDPDEDFA_01546	3091	3613	Adenine phosphoribosyltransferase
PDPDEDFA_01547	703	1555	L-ribulose 3-epimerase
PDPDEDFA_01548	1599	2805	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PDPDEDFA_01549	2880	4134	Protein TsgA
PDPDEDFA_01550	4312	5410	Uroporphyrinogen decarboxylase
PDPDEDFA_01551	5486	6794	hypothetical protein
PDPDEDFA_01552	7036	8224	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PDPDEDFA_01553	8396	9248	hypothetical protein
PDPDEDFA_01554	9507	10350	Inosose dehydratase
PDPDEDFA_01555	10667	11855	hypothetical protein
PDPDEDFA_01556	11932	12982	hypothetical protein
PDPDEDFA_01557	12978	14469	Ribose import ATP-binding protein RbsA
PDPDEDFA_01558	14586	15618	HTH-type transcriptional regulator DegA
PDPDEDFA_01559	15994	16834	hypothetical protein
PDPDEDFA_01560	17247	18327	4,4'-diaponeurosporenoate glycosyltransferase
PDPDEDFA_01561	18341	18737	hypothetical protein
PDPDEDFA_01562	18833	19328	hypothetical protein
PDPDEDFA_01563	2423	2900	hypothetical protein
PDPDEDFA_01564	2847	3558	hypothetical protein
PDPDEDFA_01565	3596	4496	hypothetical protein
PDPDEDFA_01566	4496	4946	hypothetical protein
PDPDEDFA_01567	4947	6414	Multidrug resistance protein MdtC
PDPDEDFA_01568	252	813	putative manganese efflux pump MntP
PDPDEDFA_01569	1012	2722	Glycogen phosphorylase
PDPDEDFA_01570	722	1829	o-succinylbenzoate synthase
PDPDEDFA_01571	1884	3744	putative oxidoreductase YdhV
PDPDEDFA_01572	3788	5300	Ribose import ATP-binding protein RbsA
PDPDEDFA_01573	5334	6324	Ribose import permease protein RbsC
PDPDEDFA_01574	6488	7247	hypothetical protein
PDPDEDFA_01575	18	1602	hypothetical protein
PDPDEDFA_01576	1755	2391	hypothetical protein
PDPDEDFA_01577	2648	4019	Calcium-transporting ATPase 1
PDPDEDFA_01578	890	1400	hypothetical protein
PDPDEDFA_01579	1426	1948	hypothetical protein
PDPDEDFA_01580	2025	2790	Flagellar basal-body rod protein FlgG
PDPDEDFA_01581	2911	3658	Flagellar basal-body rod protein FlgG
PDPDEDFA_01582	4101	4836	RNA polymerase sigma-D factor
PDPDEDFA_01583	5268	6321	Uroporphyrinogen decarboxylase
PDPDEDFA_01584	6327	6975	hypothetical protein
PDPDEDFA_01585	7400	9044	hypothetical protein
PDPDEDFA_01586	9178	10705	hypothetical protein
PDPDEDFA_01587	10709	12857	hypothetical protein
PDPDEDFA_01588	13039	14131	hypothetical protein
PDPDEDFA_01589	14714	14978	ATP-dependent helicase/nuclease subunit A
PDPDEDFA_01590	71	536	hypothetical protein
PDPDEDFA_01591	885	2349	hypothetical protein
PDPDEDFA_01592	2598	4458	Protein TolB
PDPDEDFA_01593	4638	5118	hypothetical protein
PDPDEDFA_01594	5192	7238	hypothetical protein
PDPDEDFA_01595	7554	10044	hypothetical protein
PDPDEDFA_01596	10116	11061	UDP-glucose 4-epimerase
PDPDEDFA_01597	11072	12143	Dodecaprenyl-phosphate galacturonate synthase
PDPDEDFA_01598	12357	13362	Coenzyme PQQ synthesis protein E
PDPDEDFA_01599	13530	14529	2-alkyl-3-oxoalkanoate reductase
PDPDEDFA_01600	14614	14782	hypothetical protein
PDPDEDFA_01601	14762	15965	hypothetical protein
PDPDEDFA_01602	16089	17211	hypothetical protein
PDPDEDFA_01603	157	382	hypothetical protein
PDPDEDFA_01604	438	678	hypothetical protein
PDPDEDFA_01605	837	1533	hypothetical protein
PDPDEDFA_01606	1659	3225	Hydroxylamine reductase
PDPDEDFA_01607	23	311	hypothetical protein
PDPDEDFA_01608	461	812	hypothetical protein
PDPDEDFA_01609	2118	2568	hypothetical protein
PDPDEDFA_01610	43	1000	Prolipoprotein diacylglyceryl transferase
PDPDEDFA_01611	1127	1862	Thiol:disulfide interchange protein DsbD
PDPDEDFA_01612	1872	2604	Thiol-disulfide oxidoreductase ResA
PDPDEDFA_01613	2818	3571	hypothetical protein
PDPDEDFA_01614	3668	4454	hypothetical protein
PDPDEDFA_01615	4598	6434	Coenzyme A disulfide reductase
PDPDEDFA_01616	6616	7915	hypothetical protein
PDPDEDFA_01617	7911	8634	hypothetical protein
PDPDEDFA_01618	8677	8920	Sulfur carrier protein TusA
PDPDEDFA_01619	9160	9646	Sulfur carrier protein DsrE2
PDPDEDFA_01620	379	610	hypothetical protein
PDPDEDFA_01621	676	907	hypothetical protein
PDPDEDFA_01622	1058	2072	hypothetical protein
PDPDEDFA_01623	2068	3559	NAD-reducing hydrogenase HoxS subunit beta
PDPDEDFA_01624	3564	4134	hypothetical protein
PDPDEDFA_01625	4153	6127	Electron transport complex subunit RsxB
PDPDEDFA_01626	6113	6563	hypothetical protein
PDPDEDFA_01627	6798	7158	hypothetical protein
PDPDEDFA_01628	7604	7886	hypothetical protein
PDPDEDFA_01629	8210	9047	Transketolase 1
PDPDEDFA_01630	9163	10408	Vitamin B12 import ATP-binding protein BtuD
PDPDEDFA_01631	10674	12009	NADP-specific glutamate dehydrogenase
PDPDEDFA_01632	12237	13476	Spermidine-binding periplasmic protein SpuE
PDPDEDFA_01633	13621	13900	hypothetical protein
PDPDEDFA_01634	1245	2352	Opine dehydrogenase
PDPDEDFA_01635	2786	3743	Electron transport complex subunit RsxB
PDPDEDFA_01636	4176	5529	hypothetical protein
PDPDEDFA_01637	5752	6118	hypothetical protein
PDPDEDFA_01638	6502	7048	Thiol-disulfide oxidoreductase ResA
PDPDEDFA_01639	7064	8363	Protease HtpX
PDPDEDFA_01640	8526	8952	hypothetical protein
PDPDEDFA_01641	139	1024	putative formate transporter 1
PDPDEDFA_01642	1123	1303	hypothetical protein
PDPDEDFA_01643	1440	1794	Endoribonuclease EndoA
PDPDEDFA_01644	1815	2055	hypothetical protein
PDPDEDFA_01645	2508	3594	hypothetical protein
PDPDEDFA_01646	3658	5134	Mannosylglucosyl-3-phosphoglycerate phosphatase
PDPDEDFA_01647	5653	5842	hypothetical protein
PDPDEDFA_01648	5963	6173	hypothetical protein
PDPDEDFA_01649	6762	6954	hypothetical protein
PDPDEDFA_01650	7230	8301	hypothetical protein
PDPDEDFA_01651	8456	8879	hypothetical protein
PDPDEDFA_01652	9075	10014	hypothetical protein
PDPDEDFA_01653	10058	11210	hypothetical protein
PDPDEDFA_01654	11236	12595	hypothetical protein
PDPDEDFA_01655	12597	14721	hypothetical protein
PDPDEDFA_01656	14843	15767	hypothetical protein
PDPDEDFA_01657	15977	16838	hypothetical protein
PDPDEDFA_01658	17213	17537	hypothetical protein
PDPDEDFA_01659	17529	18126	hypothetical protein
PDPDEDFA_01660	18115	18979	hypothetical protein
PDPDEDFA_01661	19101	19848	hypothetical protein
PDPDEDFA_01662	1	841	Flagellar hook protein FlgE
PDPDEDFA_01663	1068	1362	hypothetical protein
PDPDEDFA_01664	1811	2603	Chemotaxis protein PomA
PDPDEDFA_01665	2614	3520	Motility protein B
PDPDEDFA_01666	3662	4196	hypothetical protein
PDPDEDFA_01667	4391	5348	Flagellar motor switch protein FliM
PDPDEDFA_01668	5467	5872	Flagellar motor switch protein FliN
PDPDEDFA_01669	5825	6545	hypothetical protein
PDPDEDFA_01670	6709	7369	Flagellar biosynthetic protein FliP
PDPDEDFA_01671	7386	7659	hypothetical protein
PDPDEDFA_01672	7727	8528	hypothetical protein
PDPDEDFA_01673	8540	9608	Flagellar biosynthetic protein FlhB
PDPDEDFA_01674	9644	11732	Flagellar biosynthesis protein FlhA
PDPDEDFA_01675	11873	12209	hypothetical protein
PDPDEDFA_01676	12310	13174	Chemotaxis protein methyltransferase Cher2
PDPDEDFA_01677	13368	14262	hypothetical protein
PDPDEDFA_01678	14310	14778	hypothetical protein
PDPDEDFA_01679	14916	15294	Chemotaxis protein CheY
PDPDEDFA_01680	15928	17866	hypothetical protein
PDPDEDFA_01681	17930	20024	hypothetical protein
PDPDEDFA_01682	20133	21249	Chemotaxis response regulator protein-glutamate methylesterase
PDPDEDFA_01683	21264	22350	hypothetical protein
PDPDEDFA_01684	22374	23214	Chemotaxis protein methyltransferase
PDPDEDFA_01685	23219	23588	Chemotaxis protein CheY
PDPDEDFA_01686	23842	26431	hypothetical protein
PDPDEDFA_01687	26707	28372	Serine/threonine-protein kinase PknD
PDPDEDFA_01688	28425	29268	hypothetical protein
PDPDEDFA_01689	29600	30116	hypothetical protein
PDPDEDFA_01690	30680	31088	hypothetical protein
PDPDEDFA_01691	31120	31693	hypothetical protein
PDPDEDFA_01692	31753	32779	hypothetical protein
PDPDEDFA_01693	32957	33821	hypothetical protein
PDPDEDFA_01694	34084	35860	Phosphoenolpyruvate carboxykinase [GTP]
PDPDEDFA_01695	35926	37267	hypothetical protein
PDPDEDFA_01696	37808	38480	Hydrogenase maturation factor HypB
PDPDEDFA_01697	38890	39754	Adaptive-response sensory-kinase SasA
PDPDEDFA_01698	39756	42906	Ferredoxin--NADP reductase
PDPDEDFA_01699	42905	44666	NADP-reducing hydrogenase subunit HndD
PDPDEDFA_01700	44870	45407	NADP-reducing hydrogenase subunit HndA
PDPDEDFA_01701	45566	45953	Regulator of RpoS
PDPDEDFA_01702	46079	47108	Anaerobic sulfite reductase subunit A
PDPDEDFA_01703	47110	47971	Anaerobic sulfite reductase subunit B
PDPDEDFA_01704	47971	48721	hypothetical protein
PDPDEDFA_01705	48743	50045	NAD-reducing hydrogenase HoxS subunit beta
PDPDEDFA_01706	50320	51649	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
PDPDEDFA_01707	51652	52360	Sulfate/thiosulfate import ATP-binding protein CysA
PDPDEDFA_01708	52343	53120	Putative aliphatic sulfonates transport permease protein SsuC
PDPDEDFA_01709	53100	54225	hypothetical protein
PDPDEDFA_01710	54437	55898	Glutamate synthase [NADPH] small chain
PDPDEDFA_01711	55882	56743	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
PDPDEDFA_01712	56919	57426	Hydrogenase 1 maturation protease
PDPDEDFA_01713	57422	58598	Carbamoyl dehydratase HypE
PDPDEDFA_01714	58656	60099	hypothetical protein
PDPDEDFA_01715	60076	60424	hypothetical protein
PDPDEDFA_01716	60566	60794	hypothetical protein
PDPDEDFA_01717	61120	62890	hypothetical protein
PDPDEDFA_01718	63033	65973	Acylphosphatase
PDPDEDFA_01719	10	556	Proline--tRNA ligase
PDPDEDFA_01720	572	2795	ATP-dependent RecD-like DNA helicase
PDPDEDFA_01721	3169	4765	Ribonuclease Y
PDPDEDFA_01722	4891	6190	hypothetical protein
PDPDEDFA_01723	6205	6466	Stage V sporulation protein S
PDPDEDFA_01724	6541	7894	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
PDPDEDFA_01725	7898	8966	tRNA dimethylallyltransferase
PDPDEDFA_01726	9167	10091	Diaminopimelate epimerase
PDPDEDFA_01727	10356	11523	LL-diaminopimelate aminotransferase
PDPDEDFA_01728	11526	12888	GTPase HflX
PDPDEDFA_01729	12884	13529	LexA repressor
PDPDEDFA_01730	13716	14718	Ketol-acid reductoisomerase (NAD(+))
PDPDEDFA_01731	14941	16039	Ribosome-binding ATPase YchF
PDPDEDFA_01732	16429	16732	hypothetical protein
PDPDEDFA_01733	17031	17466	Deoxyuridine 5'-triphosphate nucleotidohydrolase
PDPDEDFA_01734	17788	18145	hypothetical protein
PDPDEDFA_01735	18223	18724	hypothetical protein
PDPDEDFA_01736	18993	19605	Hypoxanthine phosphoribosyltransferase
PDPDEDFA_01737	19626	20799	hypothetical protein
PDPDEDFA_01738	20890	22327	hypothetical protein
PDPDEDFA_01739	22323	23058	putative HTH-type transcriptional regulator
PDPDEDFA_01740	23054	23462	Oxoglutarate dehydrogenase inhibitor
PDPDEDFA_01741	23536	25039	Phosphoglucomutase
PDPDEDFA_01743	25522	26854	GTPase Der
PDPDEDFA_01744	26859	27978	hypothetical protein
PDPDEDFA_01745	27974	28823	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
PDPDEDFA_01746	28852	29530	1-acyl-sn-glycerol-3-phosphate acyltransferase
PDPDEDFA_01747	29504	30242	Cytidylate kinase
PDPDEDFA_01748	30341	31628	3-phosphoshikimate 1-carboxyvinyltransferase 1
PDPDEDFA_01749	31633	32755	hypothetical protein
PDPDEDFA_01750	33846	34896	Low specificity L-threonine aldolase
PDPDEDFA_01751	34934	35681	Ribosomal large subunit pseudouridine synthase B
PDPDEDFA_01752	35670	36324	Segregation and condensation protein B
PDPDEDFA_01753	36356	37094	Segregation and condensation protein A
PDPDEDFA_01754	37099	38083	Tryptophan--tRNA ligase
PDPDEDFA_01755	38364	38748	hypothetical protein
PDPDEDFA_01756	1266	1605	hypothetical protein
PDPDEDFA_01757	1879	2599	Glucosamine-6-phosphate deaminase
PDPDEDFA_01758	19	883	hypothetical protein
PDPDEDFA_01759	964	1378	hypothetical protein
PDPDEDFA_01760	1374	1590	hypothetical protein
PDPDEDFA_01761	1855	2362	hypothetical protein
PDPDEDFA_01762	2354	2591	hypothetical protein
PDPDEDFA_01763	2687	2900	hypothetical protein
PDPDEDFA_01764	3283	4522	Ammonium transporter
PDPDEDFA_01765	4522	4864	Nitrogen regulatory protein P-II
PDPDEDFA_01766	4880	8012	hypothetical protein
PDPDEDFA_01767	8380	8677	hypothetical protein
PDPDEDFA_01768	8850	9840	hypothetical protein
PDPDEDFA_01769	9836	9953	hypothetical protein
PDPDEDFA_01770	9970	10483	hypothetical protein
PDPDEDFA_01771	10687	10948	hypothetical protein
PDPDEDFA_01772	11005	11167	hypothetical protein
PDPDEDFA_01773	11457	11883	hypothetical protein
PDPDEDFA_01774	12795	13083	hypothetical protein
PDPDEDFA_01775	294	2061	ATP-dependent RNA helicase DeaD
PDPDEDFA_01776	2327	3533	hypothetical protein
PDPDEDFA_01777	3810	5931	hypothetical protein
PDPDEDFA_01778	6046	7108	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PDPDEDFA_01779	7367	7496	hypothetical protein
PDPDEDFA_01780	7587	8031	hypothetical protein
PDPDEDFA_01781	72	1932	UvrABC system protein C
PDPDEDFA_01782	2122	5143	UvrABC system protein A
PDPDEDFA_01783	5325	7386	UvrABC system protein B
PDPDEDFA_01784	7369	7954	Dephospho-CoA kinase
PDPDEDFA_01785	8384	9785	Polyribonucleotide nucleotidyltransferase
PDPDEDFA_01786	10019	13310	Flap endonuclease Xni
PDPDEDFA_01788	13956	15132	hypothetical protein
PDPDEDFA_01789	15239	17372	putative cadmium-transporting ATPase
PDPDEDFA_01790	17476	17836	Transcriptional repressor SmtB
PDPDEDFA_01791	18001	18241	hypothetical protein
PDPDEDFA_01792	18371	18716	hypothetical protein
PDPDEDFA_01793	18831	19899	Arsenical-resistance protein Acr3
PDPDEDFA_01794	20108	20567	Glycine cleavage system H protein
PDPDEDFA_01795	20556	20973	hypothetical protein
PDPDEDFA_01796	21018	21468	hypothetical protein
PDPDEDFA_01797	21614	22043	hypothetical protein
PDPDEDFA_01798	22240	22621	hypothetical protein
PDPDEDFA_01799	22760	23576	hypothetical protein
PDPDEDFA_01800	23770	24736	ATP-dependent 6-phosphofructokinase
PDPDEDFA_01801	24812	25535	Histidine biosynthesis bifunctional protein HisIE
PDPDEDFA_01802	25712	26471	Imidazole glycerol phosphate synthase subunit HisF
PDPDEDFA_01803	26477	26978	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
PDPDEDFA_01804	93	3048	ATP-dependent helicase/nuclease subunit A
PDPDEDFA_01805	3397	6646	ATP-dependent helicase/deoxyribonuclease subunit B
PDPDEDFA_01806	6729	9690	hypothetical protein
PDPDEDFA_01807	9679	10141	hypothetical protein
PDPDEDFA_01808	10326	10710	hypothetical protein
PDPDEDFA_01809	953	1388	Ribose-5-P isomerase B
PDPDEDFA_01810	1423	2401	1-deoxy-D-xylulose-5-phosphate synthase
PDPDEDFA_01811	2390	3251	Ferredoxin fas2
PDPDEDFA_01812	3588	4560	Aldo-keto reductase YhdN
PDPDEDFA_01813	5142	7413	Penicillin-binding protein 2D
PDPDEDFA_01814	7554	10242	hypothetical protein
PDPDEDFA_01815	10483	11482	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
PDPDEDFA_01816	11481	12123	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
PDPDEDFA_01817	12277	13774	Glutamate--tRNA ligase 1
PDPDEDFA_01818	14062	14266	hypothetical protein
PDPDEDFA_01819	14262	14490	hypothetical protein
PDPDEDFA_01820	14626	15538	hypothetical protein
